caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-02,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,84,RHJackson,1,1,1,2,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-03,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,81,WODouglas,2,1,2,1,82,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-04,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,80,FFrankfurter,2,1,2,1,82,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-05,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,79,SFReed,1,1,1,2,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-06,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,78,HLBlack,1,2,1,2,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-07,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,85,WBRutledge,1,1,1,2,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-08,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-09,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,87,FMVinson,1,1,1,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-01,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,86,HHBurton,1,1,2,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-02,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,84,RHJackson,2,3,1,1,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-03,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,81,WODouglas,1,2,2,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-04,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,80,FFrankfurter,2,3,1,1,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-05,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,79,SFReed,2,3,1,1,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-06,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,78,HLBlack,1,1,2,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-07,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,85,WBRutledge,1,1,2,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-08,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,82,FMurphy,1,1,2,2,,
1947-063,1947-063-01,1947-063-01-01,1947-063-01-01-01-09,4/5/1948,1,333 U.S. 586,68 S. Ct. 702,92 L. Ed. 2d 894,1948 U.S. LEXIS 2336,1947,1301,Vinson,448,SHADE v. DOWNING ET AL.,2/11/1948,,166,,166,,4,,,0,105,,30,,0,1,,,1,10,0,0,0,0,20150,2,2,0,4,,6,600,40 Stat. 606,81,87,1,6,3,87,FMVinson,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-01,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,86,HHBurton,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-02,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,84,RHJackson,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-03,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,81,WODouglas,2,1,1,1,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-04,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,80,FFrankfurter,2,1,1,1,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-05,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,79,SFReed,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-06,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,78,HLBlack,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-07,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,85,WBRutledge,1,1,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-08,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,82,FMurphy,1,2,2,2,,
1947-105,1947-105-01,1947-105-01-01,1947-105-01-01-01-09,6/14/1948,1,334 U.S. 717,68 S. Ct. 1223,92 L. Ed. 2d 1676,1948 U.S. LEXIS 2704,1947,1301,Vinson,489,WEST v. OKLAHOMA TAX COMMISSION,3/29/1948,,170,,4,42,2,117,42,0,300,42,300,42,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,1,148,,82,78,1,6,3,87,FMVinson,2,1,1,1,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-01,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,86,HHBurton,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-02,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,84,RHJackson,4,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-03,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,81,WODouglas,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-04,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,80,FFrankfurter,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-05,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,79,SFReed,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-06,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,78,HLBlack,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-07,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,85,WBRutledge,1,2,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-08,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,82,FMurphy,1,1,1,2,,
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01-09,3/7/1949,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0,87,FMVinson,1,1,1,2,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-01,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,86,HHBurton,1,1,1,2,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-02,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,84,RHJackson,1,1,1,2,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-03,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,81,WODouglas,2,1,2,1,85,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-04,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,80,FFrankfurter,1,1,1,2,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-05,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,79,SFReed,1,2,1,2,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-06,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,78,HLBlack,2,1,2,1,85,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-07,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,85,WBRutledge,2,2,2,1,,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-08,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,82,FMurphy,2,1,2,1,85,
1948-080,1948-080-01,1948-080-01-01,1948-080-01-01-01-09,5/31/1949,1,337 U.S. 86,69 S. Ct. 968,93 L. Ed. 2d 1231,1949 U.S. LEXIS 2954,1948,1301,Vinson,24,"HYNES, REGIONAL DIRECTOR, FISH AND WILDLIFE SERVICE, DEPARTMENT OF THE INTERIOR, v. GRIMES PACKING CO. ET AL.",10/21/1948,,326,,157,,1,26,,0,44,2,29,,0,12,2,2,1,5,0,1,0,0,20150,2,1,1,5,4,6,600,48 U.S.C. Â§ 221,79,87,1,5,4,87,FMVinson,1,1,1,2,,
1950-059,1950-059-01,1950-059-01-01,1950-059-01-01-01-01,4/9/1951,6,341 U.S. 48,71 S. Ct. 552,95 L. Ed. 2d 738,1951 U.S. LEXIS 2019,1950,1303,Vinson,281,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,3/2/1951,,27,,170,,1,,,0,3,,3,,0,12,,2,1,3,0,1,0,0,20150,2,1,0,7,1,2,211,,,,1,8,0,89,SMinton,1,1,1,2,,
